COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
SOC 3830,A01 (24763),"Youth, Crime, and Society (3)",M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Joseph Asomah
SOC 4450,A01 (10645),Honours Seminar (Part A) (3),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Mara Fridell
SOC 4460,A01 (21597),Advanced Sociological Theory (3),M,"Sep 03 - Dec 08, 11:30-14:15 (T)",Charles Axelrod
SOC 4490,A01 (22674),Advanced Seminar in Criminology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (W)",Jeremy Patzer
SOC 4580,A01 (24765),Social Research Methods (3),M,"Sep 03 - Dec 08, 11:30-14:15 (M)",Zhenxiang Chen
SOC 7160,T11 (25773),Environmental Sociology (3),M,"Sep 03 - Dec 08, 11:30-14:15 (R)",Mark Hudson
SOC 7390,A01 (25774),Survey Research Methods (3),M,"Sep 03 - Dec 08, 14:30-17:15 (T)",Lori Wilkinson
SOC 7450,T09 (25775),Law and Crises in the Post-Truth Era (3),M,"Sep 03 - Dec 08, 11:30-14:15 (W)",Jeremy Patzer
WOMN 1500,A02 (11605),Introduction to Women's and Gender Studies in the Humanities (3),M,"Sep 03 - Dec 08, 14:30-15:45 (TR)",Morgan Abbott
WOMN 1500,A01 (20523),Introduction to Women's and Gender Studies in the Humanities (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Morgan Abbott
WOMN 1600,D01 (11626),Introduction to Women's and Gender Studies in the Social Sciences (3),DE,Sep 03 - Dec 08,Lisa Bednar
WOMN 1600,A01 (11608),Introduction to Women's and Gender Studies in the Social Sciences (3),M,"Sep 03 - Dec 08, 09:30-10:20 (MWF)",Morgan Abbott
WOMN 1600,A02 (11607),Introduction to Women's and Gender Studies in the Social Sciences (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",Morgan Abbott
WOMN 2000,A01 (25794),Feminist Thought (3),M,"Sep 03 - Dec 08, 13:00-14:15 (TR)",
WOMN 2430,A01 (24778),Indigenous Women's Stories (3),M,"Sep 03 - Dec 08, 10:00-11:15 (TR)",
WOMN 2540,T25 (25797),Feminism and (Dis) ability Literature (3),M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Christine Stewart
WOMN 2610,A01 (25795),"Gender, Transport and Social Justice (3)",M,"Sep 03 - Dec 08, 11:30-12:45 (TR)",Elizabeth Millward
WOMN 2630,A01 (25796),Indigenous Feminisms (3),M,"Sep 03 - Dec 08, 11:30-12:20 (MWF)",Shawna Ferris
WOMN 3500,T06 (25799),"Dress Code: Women, Clothing and Gender (3)",M,"Sep 03 - Dec 08, 11:30-14:15 (W)",Lisa Bednar
WOMN 3500,T08 (25798),Women and the Military (3),M,"Sep 03 - Dec 08, 14:30-17:15 (R)",Elizabeth Millward
BIOL 1000,A01 (10226),Biology: Foundations of Life (3),M,"Sep 03 - Dec 08, 10:30-11:20 (MWF)",Diana Mlinar
