COURSE,SECTION (CRN),TITLE (CREDIT HOURS),CAMPUS,COURSE TIME,INSTRUCTOR
EVLU 3008,A01 (51270),Studio 4 (9),M,"Jan 13 - Apr 09, 09:00-17:00 (TR)",Brenda Brown
EVLU 3008,A01 (51270),Studio 4 (9),M,"Jan 06 - Jan 12, 09:00-11:45 (MTR)",Brenda Brown
EVLU 3010,A01 (57577),Landscape and Urbanism Theory (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",TBA
EVLU 3012,A01 (62149),Site Morphology + Grading (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Kamni Gill
EVLU 4000,A01 (59936),"Philosophy, Ethics and Aesthetics (3)",M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Marcella Eaton
EVLU 4006,T12 (66061),Child Friendly Cities (3),M,"Jan 06 - Apr 09, 08:30-11:15 (W)",Laurie Bridgman
EVLU 4014,A01 (51433),Studio 6 (9),M,"Jan 06 - Apr 09, 14:30-17:15 (TR)",TBA
EVLU 4014,A01 (51433),Studio 6 (9),M,"Jan 06 - Apr 09, 09:00-17:00 (TR)",TBA
EVLU 4016,A01 (58486),History of Landscape and Urbanism (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Alan Tate
EVLU 4018,A01 (62157),Principles of Urban Design (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Jean Trottier
IDES 7170,A01 (51057),Design Research Methods (3),M,"Jan 06 - Apr 09, 08:30-11:15 (T)",Cynthia Karpan
IDES 7180,A01 (52663),Theory Seminar 1 - Contemporary Issues in Design (3),M,"Jan 06 - Apr 09, 08:30-11:15 (R)",TBA
IDES 7210,K01 (50425),Masters Studio 2 - Events and Making (6),M,"Jan 06 - Apr 09, 08:30-12:00 (WF)",TBA
IDES 7210,K01 (50425),Masters Studio 2 - Events and Making (6),M,"Jan 06 - Apr 09, 13:00-16:30 (WF)",TBA
IDES 7230,A02 (66204),Sensory Technology 4 (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Shauna Mallory-Hill
IDES 7250,A01 (52310),Professionalism and Practice (3),M,"Jan 06 - Apr 09, 14:30-17:15 (R)",Katherine Isaac
LARC 7040,A01 (63601),Design Research (3),M,"Jan 06 - Apr 09, 14:30-17:15 (W)",Brenda Brown
LARC 7250,A01 (57473),LA History + Theory (3),M,"Jan 06 - Apr 09, 14:30-17:15 (M)",Kamni Gill
LARC 7320,T01 (59937),Landscape Design Seminar 2 - Data visualization and information design (3),M,"Jan 06 - Apr 09, 08:30-11:15 (F)",Yuhao Lu
LARC 7400,T08 (55569),Landscape Topics (3),M,Jan 06 - Apr 09,Leanne Muir
LARC 7400,A09 (60718),Landscape Topics (3),M,Jan 06 - Apr 09,Kamni Gill
LARC 7400,A07 (57004),Landscape Topics (3),M,Jan 06 - Apr 09,Jean Trottier
LARC 7400,A06 (55567),Landscape Topics (3),M,Jan 06 - Apr 09,Anna Thurmayr
LARC 7400,A02 (55563),Landscape Topics (3),M,Jan 06 - Apr 09,Marcella Eaton
LARC 7400,A04 (55565),Landscape Topics (3),M,Jan 06 - Apr 09,Dietmar Straub
LARC 7400,A03 (55564),Landscape Topics (3),M,Jan 06 - Apr 09,Frits Van Loon
LARC 7400,A01 (58084),Landscape Topics (3),M,Jan 06 - Apr 09,Brenda Brown
LARC 7400,A05 (55566),Landscape Topics (3),M,Jan 06 - Apr 09,Alan Tate
LARC 7520,A01 (65031),Studio 2 (6),M,"Jan 06 - Apr 09, 09:00-15:00 (TR)",Marcella Eaton
LARC 7540,K01 (65030),Studio 4 (9),M,"Jan 06 - Apr 09, 11:30-14:15 (TR)",Alan Tate
LARC 7540,K01 (65030),Studio 4 (9),M,"Jan 06 - Apr 09, 09:00-17:00 (TR)",Alan Tate
HMRT 7200,A01 (59178),HMRT Methods (3),M,"Jan 06 - Apr 09, 14:00-16:50 (T)",Mary Shariff
LAW 1102,A03 (61326),Contracts (Part B) (2.5),M,"Jan 06 - Apr 09, 14:00-16:50 (T)",Bruce Curran
LAW 1102,A02 (57658),Contracts (Part B) (2.5),M,"Jan 06 - Apr 09, 14:00-16:50 (T)",Daniel Diamond
LAW 1102,A01 (57657),Contracts (Part B) (2.5),M,"Jan 06 - Apr 09, 14:00-16:50 (T)",Shakiru Bello
LAW 1140,A03 (62745),Criminal Law and Procedure (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",John Burchill
LAW 1140,A02 (65517),Criminal Law and Procedure (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",Kenneth Grad
LAW 1140,A01 (50997),Criminal Law and Procedure (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",Brandon Trask
LAW 1378,A01 (62099),Passeport du droit en Français 1 (Part B) (0.5),M,"Jan 06 - Apr 09, 12:00-12:50 (F)",Lorna Turnbull
LAW 1460,A03 (51001),Constitutional Law (Part B) (2.5),M,"Jan 06 - Apr 09, 14:00-15:50 (R)",Brandon Trask
LAW 1460,A02 (65518),Constitutional Law (Part B) (2.5),M,"Jan 06 - Apr 09, 14:00-15:50 (R)",Gillian MacNeil
LAW 1460,A01 (50999),Constitutional Law (Part B) (2.5),M,"Jan 06 - Apr 09, 14:00-15:50 (R)",Leif Jensen
LAW 1480,A01 (51002),Torts and Compensation Systems (Part B) (2.5),M,"Jan 06 - Apr 09, 10:00-11:50 (T)",Martine Dennie
LAW 1480,A03 (51179),Torts and Compensation Systems (Part B) (2.5),M,"Jan 06 - Apr 09, 10:00-11:50 (T)",TBA
LAW 1480,A02 (65519),Torts and Compensation Systems (Part B) (2.5),M,"Jan 06 - Apr 09, 10:00-11:50 (T)",Akinwumi Ogunranti
LAW 1500,A03 (51180),Property (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",Katherine Szilagyi
LAW 1500,A02 (63575),Property (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",Donn Short
LAW 1500,A01 (51004),Property (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",John Irvine
LAW 1530,A01 (51495),Legal System (Part B) (1),M,"Jan 06 - Apr 09, 09:00-15:50 (W)",Rory Churchill-Henry
LAW 1540,A01 (51046),Legal Methods (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (F)",Lorna Turnbull
LAW 1540,A01 (51046),Legal Methods (Part B) (2.5),M,"Jan 06 - Apr 09,  (F)",Lorna Turnbull
LAW 1542,A01 (62098),Méthodes juridiques (Part B) (2.5),M,"Jan 06 - Apr 09, 09:00-11:50 (F)",Tarik Daoudi
LAW 2020,A02 (65796),Legal Profession and Professional Responsibility (3),M,"Jan 06 - Apr 09, 13:00-15:50 (F)",Shakiru Bello
LAW 2020,A03 (63782),Legal Profession and Professional Responsibility (3),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",Shakiru Bello
LAW 2378,A01 (63972),Passport Droit en Francais 2 (Part B) (0.5),M,"Jan 06 - Apr 09, 12:00-12:50 (F)",Lorna Turnbull
LAW 2602,A02 (62936),Evidence (3),M,"Jan 06 - Apr 09, 09:00-11:50 (W)",Kenneth Grad
LAW 2642,A01 (65568),Droit de la famille (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Lorna Turnbull
LAW 2650,A02 (51988),Introduction to Advocacy (3),M,"Jan 06 - Apr 09, 13:00-15:50 (M)",Arian Poushangi
LAW 2650,A03 (51989),Introduction to Advocacy (3),M,"Jan 06 - Apr 09, 13:00-15:50 (M)",Kevin Sharma
LAW 2650,A01 (51953),Introduction to Advocacy (3),M,"Jan 06 - Apr 09, 13:00-15:50 (M)",Jessica Dillon
LAW 2652,A04 (63849),Introduction à la plaidoirie (3),M,"Jan 06 - Apr 09, 13:00-15:50 (M)",Michel Chartier
LAW 2672,A02 (62102),Civil Procedure (3),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",Elizabeth McCandless
LAW 2690,A02 (53319),Corporations I (3),M,"Jan 06 - Apr 09, 09:00-11:50 (T)",Darcy MacPherson
LAW 2700,A02 (52343),Income Tax Law and Policy (3),M,"Jan 06 - Apr 09, 14:00-16:50 (T)",Mary Gallant
LAW 3030,A02 (54862),Research Paper B (3),M,"Jan 06 - Apr 09, 12:00-12:50 (F)",TBA
LAW 3042,T02 (65809),Canadian Negotiation Competition (3),M,"Jan 06 - Apr 09, 12:00-12:50 (M)",TBA
LAW 3042,T01 (65808),Kawaskimhon Moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (M)",TBA
LAW 3042,T07 (65923),National Family Law Negotiation moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (F)",TBA
LAW 3042,T04 (65811),Western / Sopinka Moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (T)",TBA
LAW 3042,T05 (65812),French CNNC (3),M,"Jan 06 - Apr 09, 12:00-12:50 (R)",TBA
LAW 3042,T03 (65810),McIntyre Cup Moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (W)",TBA
LAW 3120,A01 (65561),Philanthropy and the Law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",Mary Gallant
LAW 3220,T06 (62909),Fox Moot (3),M,Jan 06 - Apr 09,TBA
LAW 3220,T15 (64653),Isaac Moot (3),M,"Jan 06 - Apr 09, 12:00-13:50 (R)",TBA
LAW 3220,T14 (59451),Western Canada Family Moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (F)",TBA
LAW 3220,T08 (51821),Laskin Moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (T)",TBA
LAW 3220,T02 (62910),Gale Cup (3),M,Jan 06 - Apr 09,TBA
LAW 3220,T07 (64652),Wilson Moot (3),M,Jan 06 - Apr 09,TBA
LAW 3220,T03 (61828),Bastarache Moot (3),M,"Jan 06 - Apr 09, 12:00-12:50 (M)",TBA
LAW 3274,A01 (63847),Advanced Family Law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (W)",Maria Mitousis
LAW 3288,A01 (65564),Refugee Law (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Amar Khoday
LAW 3344,A04 (65993),Internships (3),M,Jan 06 - Apr 09,Andrea Doyle
LAW 3344,A03 (65703),Internships (3),M,Jan 06 - Apr 09,Elizabeth McCandless
LAW 3344,A01 (65595),Internships (3),M,"Jan 06 - Apr 09, 10:00-11:50 (R)",Elizabeth McCandless
LAW 3344,A02 (65094),Internships (3),M,Jan 06 - Apr 09,Elizabeth McCandless
LAW 3346,A01 (64430),Access to Justice (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Natasha Brown
LAW 3348,A01 (65572),Bankruptcy and Insolvency (3),M,"Jan 06 - Apr 09, 13:00-15:50 (F)",Myles Davis
LAW 3354,A01 (60233),Moot Researcher (3),M,"Jan 06 - Apr 09, 13:00-13:50 (T)",TBA
LAW 3360,A01 (65570),Advanced Legal Research (3),M,"Jan 06 - Apr 09, 09:00-11:50 (R)",Matthew Renaud
LAW 3378,A01 (63973),Passeport Droit en Francais 3 (Part B) (0.5),M,"Jan 06 - Apr 09, 12:00-12:50 (F)",Lorna Turnbull
LAW 3392,A01 (57668),Securities Law (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Donald Macdonald
LAW 3510,A01 (64942),Corporate Taxation (3),M,"Jan 06 - Apr 09, 16:00-18:50 (R)",Frank Lavitt
LAW 3520,A01 (51955),Taxation of Trusts and Estates (3),M,"Jan 06 - Apr 09, 16:00-18:50 (W)",Sergio Pustogorodsky
LAW 3530,A02 (52666),Administrative Law (3),M,"Jan 06 - Apr 09, 13:00-15:50 (W)",Andrea Doyle
LAW 3530,A01 (65550),Administrative Law (3),M,"Jan 06 - Apr 09, 14:00-16:50 (R)",Andrea Doyle
LAW 3590,A01 (61332),Charter Issues in Criminal Law (3),M,"Jan 06 - Apr 09, 18:00-20:50 (T)",John Burchill
LAW 3824,A02 (63845),Scholarly Publications-Human Rights (Part B) (1.5),M,"Jan 06 - Apr 09, 12:00-12:50 (W)",Donn Short
LAW 3824,A01 (59381),Scholarly Publications (Part B) (1.5),M,"Jan 06 - Apr 09, 12:00-12:50 (MW)",Bryan Schwartz
LAW 3826,A02 (63844),Advanced Scholarly Publications - Human Rights (Part B) (1.5),M,"Jan 06 - Apr 09, 12:00-12:50 (W)",Donn Short
LAW 3826,A01 (59382),Advanced Scholarly Publications (Part B) (1.5),M,"Jan 06 - Apr 09, 12:00-12:50 (MW)",Bryan Schwartz
LAW 3832,A01 (60608),Legal Aid Clinic (1.5),M,"Jan 06 - Apr 09, 12:00-13:50 (R)",TBA
LAW 3940,A01 (63580),Canadian Charter of Rights & Freedoms (3),M,"Jan 06 - Apr 09, 17:00-19:50 (W)",Christopher Klassen
LAW 3980,T19 (62105),Advanced Mediation (3),M,"Jan 06 - Apr 09, 16:00-18:50 (M)",David Dyck
LAW 3980,T53 (65797),Advocating for the rights of Indigenous peoples in International law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (M)",Brenda Gunn
LAW 3980,T49 (61335),Intellectual Property (3),M,"Jan 06 - Apr 09, 09:00-11:50 (W)",Silvia De Sousa
LAW 3980,T28 (59292),Construction Law (3),M,"Jan 06 - Apr 09, 13:00-15:50 (F)",Bailey Harris
LAW 3982,T03 (65571),Indigenous Legal Orders (3),M,"Jan 06 - Apr 09, 14:00-16:50 (R)",Daniel Diamond
LAW 3982,T04 (65594),Mental Health & Criminal Law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (W)",Brandon Trask
LAW 3982,T06 (65593),Transnational Criminal Law (3),M,"Jan 06 - Apr 09, 09:00-11:50 (T)",Gillian MacNeil
LAW 3982,T05 (65576),Corporate Social Responsibility (3),M,"Jan 06 - Apr 09, 18:00-20:50 (T)",Adetokunbo Alase
